"","Var1","Var2","value"
"361","Electronic Literature Organization","A Look at MOOCs",2
"363","Fembot Collective","A Look at MOOCs",1
"364","Feminist Scholars Digital Workshop","A Look at MOOCs",4
"366","Formal and Informal Online Learning Environments","A Look at MOOCs",1
"370","Global Outlook :: Digital Humanities","A Look at MOOCs",2
"371","Grand Challenges and Enduring Questions","A Look at MOOCs",2
"372","Graphic, Visual and Multi-modal Storytelling","A Look at MOOCs",1
"377","HASTAC Steering Committee","A Look at MOOCs",1
"379","HASTAC@Duke","A Look at MOOCs",1
"387","Learning Space Design","A Look at MOOCs",1
"393","Mobile and Immersive Learning for Literacy in Emerging Economies (MILLEE)","A Look at MOOCs",1
"404","New Media and Social Movements","A Look at MOOCs",4
"414","Pedagogy","A Look at MOOCs",9
"419","Queer DML","A Look at MOOCs",2
"431","Scratch & Share","A Look at MOOCs",1
"433","Semantic Web","A Look at MOOCs",1
"435","Social Media and Reader Reception","A Look at MOOCs",1
"437","Sound & Music","A Look at MOOCs",1
"438","Staff","A Look at MOOCs",2
"452","Unlocked","A Look at MOOCs",1
"466","#transformDH","Access + Digital Literacy",3
"470","Alt-Ac","Access + Digital Literacy",2
"472","Authority Control: Information and Library Science","Access + Digital Literacy",1
"473","Badges for Lifelong Learning","Access + Digital Literacy",2
"481","Cellcraft: Exploring the Cell Through Computer Games","Access + Digital Literacy",1
"486","Collaboration","Access + Digital Literacy",1
"487","Collaborative Data","Access + Digital Literacy",1
"492","Critical Commons","Access + Digital Literacy",1
"499","Digital Dissertations","Access + Digital Literacy",2
"501","Digital History","Access + Digital Literacy",2
"503","Digital Media & Learning Competition 1","Access + Digital Literacy",5
"504","Digital Media & Learning Competition 2","Access + Digital Literacy",2
"506","Digital Media & Learning Competition 4","Access + Digital Literacy",1
"507","Digital Media and Learning Competitions","Access + Digital Literacy",1
"511","Duke FHI Grad Digital","Access + Digital Literacy",1
"512","Duke PhD Lab","Access + Digital Literacy",1
"516","Electronic Literature Organization","Access + Digital Literacy",1
"518","Fembot Collective","Access + Digital Literacy",4
"524","Global Challenge","Access + Digital Literacy",1
"526","Grand Challenges and Enduring Questions","Access + Digital Literacy",2
"527","Graphic, Visual and Multi-modal Storytelling","Access + Digital Literacy",4
"528","GreaterThanGames Virtual Lab","Access + Digital Literacy",2
"529","HASTAC Nominating Committee","Access + Digital Literacy",1
"532","HASTAC Steering Committee","Access + Digital Literacy",2
"533","HASTAC virtual advisors","Access + Digital Literacy",1
"534","HASTAC@Duke","Access + Digital Literacy",2
"537","How They Got Game: Cultural Implications of Interactive Simulations and Video Games","Access + Digital Literacy",2
"538","HyperCities","Access + Digital Literacy",1
"545","M-Ubuntu: Teachers Building an M-Literacy Collaboratory","Access + Digital Literacy",1
"548","Mobile and Immersive Learning for Literacy in Emerging Economies (MILLEE)","Access + Digital Literacy",1
"558","Networking Grassroots Knowledge Globally","Access + Digital Literacy",1
"559","New Media and Social Movements","Access + Digital Literacy",4
"561","Northeastern University","Access + Digital Literacy",1
"569","Pedagogy","Access + Digital Literacy",7
"580","Scholar Class 2010","Access + Digital Literacy",1
"581","Scholar Class 2011","Access + Digital Literacy",2
"582","Scholar Class 2012","Access + Digital Literacy",2
"583","Scholar Class 2013","Access + Digital Literacy",2
"584","Scholars","Access + Digital Literacy",4
"588","Semantic Web","Access + Digital Literacy",1
"590","Social Media and Reader Reception","Access + Digital Literacy",1
"591","Social Media Classroom","Access + Digital Literacy",4
"592","Sound & Music","Access + Digital Literacy",1
"593","Staff","Access + Digital Literacy",2
"602","The Labyrinth Project","Access + Digital Literacy",1
"607","Unlocked","Access + Digital Literacy",1
"610","Vectors: Journal of Culture and Technology in a Dynamic Vernacular","Access + Digital Literacy",1
"621","#transformDH","Alt-Ac",3
"623","A Look at MOOCs","Alt-Ac",1
"624","Access + Digital Literacy","Alt-Ac",2
"627","Authority Control: Information and Library Science","Alt-Ac",7
"628","Badges for Lifelong Learning","Alt-Ac",3
"632","Better things to do","Alt-Ac",1
"641","Collaboration","Alt-Ac",4
"642","Collaborative Data","Alt-Ac",1
"654","Digital Dissertations","Alt-Ac",2
"656","Digital History","Alt-Ac",5
"658","Digital Media & Learning Competition 1","Alt-Ac",4
"660","Digital Media & Learning Competition 3","Alt-Ac",1
"663","Digital Publishing","Alt-Ac",2
"666","Duke FHI Grad Digital","Alt-Ac",1
"667","Duke PhD Lab","Alt-Ac",1
"671","Electronic Literature Organization","Alt-Ac",5
"673","Fembot Collective","Alt-Ac",2
"674","Feminist Scholars Digital Workshop","Alt-Ac",3
"676","Formal and Informal Online Learning Environments","Alt-Ac",1
"681","Grand Challenges and Enduring Questions","Alt-Ac",2
"682","Graphic, Visual and Multi-modal Storytelling","Alt-Ac",2
"684","HASTAC Nominating Committee","Alt-Ac",1
"685","HASTAC Scholars - Evaluation of Impact","Alt-Ac",1
"686","HASTAC Scholars @ Liberal Arts Colleges","Alt-Ac",1
"687","HASTAC Steering Committee","Alt-Ac",1
"688","HASTAC virtual advisors","Alt-Ac",1
"689","HASTAC@Duke","Alt-Ac",1
"693","HyperCities","Alt-Ac",3
"714","New Media and Social Movements","Alt-Ac",9
"724","Pedagogy","Alt-Ac",13
"729","Queer DML","Alt-Ac",5
"730","Race Card I.Q.","Alt-Ac",1
"734","Scholar Class 2009","Alt-Ac",2
"735","Scholar Class 2010","Alt-Ac",1
"736","Scholar Class 2011","Alt-Ac",2
"737","Scholar Class 2012","Alt-Ac",3
"738","Scholar Class 2013","Alt-Ac",11
"739","Scholars","Alt-Ac",13
"743","Semantic Web","Alt-Ac",7
"745","Social Media and Reader Reception","Alt-Ac",1
"746","Social Media Classroom","Alt-Ac",1
"747","Sound & Music","Alt-Ac",4
"748","Staff","Alt-Ac",1
"756","Texas A&M University Digital Scholars","Alt-Ac",1
"762","Unlocked","Alt-Ac",1
"764","Vanderbilt Digital Humanities","Alt-Ac",1
"774","Youth APPLab","Alt-Ac",1
"777","4-H/USDA Robotics Digital Badges","American Graduate: Let's Make It Happen Badges",1
"783","Badges for Lifelong Learning","American Graduate: Let's Make It Happen Badges",1
"784","Badges in Higher Ed","American Graduate: Let's Make It Happen Badges",1
"785","Badges Work for Vets","American Graduate: Let's Make It Happen Badges",1
"788","Black Cloud: Environmental Studies Gaming","American Graduate: Let's Make It Happen Badges",1
"797","Collaborative Data","American Graduate: Let's Make It Happen Badges",1
"798","Computer Science Student Network Badge System","American Graduate: Let's Make It Happen Badges",1
"799","Conservation Connection","American Graduate: Let's Make It Happen Badges",1
"805","Design for America: A Badge Community for Innovation","American Graduate: Let's Make It Happen Badges",1
"813","Digital Media & Learning Competition 1","American Graduate: Let's Make It Happen Badges",1
"814","Digital Media & Learning Competition 2","American Graduate: Let's Make It Happen Badges",1
"815","Digital Media & Learning Competition 3","American Graduate: Let's Make It Happen Badges",1
"816","Digital Media & Learning Competition 4","American Graduate: Let's Make It Happen Badges",3
"817","Digital Media and Learning Competitions","American Graduate: Let's Make It Happen Badges",1
"820","Disney-Pixar Wilderness Explorers Badges","American Graduate: Let's Make It Happen Badges",1
"823","EarthWorks","American Graduate: Let's Make It Happen Badges",1
"827","Fab@School","American Graduate: Let's Make It Happen Badges",1
"840","HASTAC Scholars - Evaluation of Impact","American Graduate: Let's Make It Happen Badges",1
"844","HASTAC@Duke","American Graduate: Let's Make It Happen Badges",1
"851","Intel and Society for Science and the Public Badges","American Graduate: Let's Make It Happen Badges",1
"853","LevelUp","American Graduate: Let's Make It Happen Badges",1
"854","Leverage for Digital On-Ramps","American Graduate: Let's Make It Happen Badges",1
"857","Mobile Action Lab","American Graduate: Let's Make It Happen Badges",1
"858","Mobile and Immersive Learning for Literacy in Emerging Economies (MILLEE)","American Graduate: Let's Make It Happen Badges",1
"861","Moodle as Issuer, Mahara as Displayer","American Graduate: Let's Make It Happen Badges",1
"863","My Girl Scout Sash Is An App","American Graduate: Let's Make It Happen Badges",1
"864","National Manufacturing Badge System","American Graduate: Let's Make It Happen Badges",1
"866","NatureBadges: Open Source Nature & Science Badge System","American Graduate: Let's Make It Happen Badges",1
"876","Partners in Learning Network Badges","American Graduate: Let's Make It Happen Badges",1
"877","Pathways for Lifelong Learning","American Graduate: Let's Make It Happen Badges",1
"878","Pathways to Global Competence: A Badge System for Students","American Graduate: Let's Make It Happen Badges",1
"881","Planet Stewards: Personalized Learning in 3D GameLab","American Graduate: Let's Make It Happen Badges",1
"883","Preparing Librarians to Meet the Needs of 21st Century Teens","American Graduate: Let's Make It Happen Badges",1
"887","S2R Medals","American Graduate: Let's Make It Happen Badges",1
"888","SA&FS Learner Driven Badges Project","American Graduate: Let's Make It Happen Badges",1
"903","Staff","American Graduate: Let's Make It Happen Badges",1
"907","Sweet Water AQUAPONS","American Graduate: Let's Make It Happen Badges",1
"923","Voces Moviles (Mobile Voices)","American Graduate: Let's Make It Happen Badges",1
"925","Who Built America? Badges for Teaching Disciplinary Literacy in History","American Graduate: Let's Make It Happen Badges",1
"929","Youth APPLab","American Graduate: Let's Make It Happen Badges",1
"930","Youth Digital Filmmaker Badge System","American Graduate: Let's Make It Happen Badges",1
"931","#transformDH","Authority Control: Information and Library Science",7
"934","Access + Digital Literacy","Authority Control: Information and Library Science",1
"935","Alt-Ac","Authority Control: Information and Library Science",7
"938","Badges for Lifelong Learning","Authority Control: Information and Library Science",4
"942","Better things to do","Authority Control: Information and Library Science",2
"951","Collaboration","Authority Control: Information and Library Science",3
"952","Collaborative Data","Authority Control: Information and Library Science",4
"966","Digital History","Authority Control: Information and Library Science",6
"968","Digital Media & Learning Competition 1","Authority Control: Information and Library Science",1
"973","Digital Publishing","Authority Control: Information and Library Science",5
"976","Duke FHI Grad Digital","Authority Control: Information and Library Science",1
"977","Duke PhD Lab","Authority Control: Information and Library Science",1
"981","Electronic Literature Organization","Authority Control: Information and Library Science",4
"983","Fembot Collective","Authority Control: Information and Library Science",8
"984","Feminist Scholars Digital Workshop","Authority Control: Information and Library Science",6
"990","Global Outlook :: Digital Humanities","Authority Control: Information and Library Science",3
"991","Grand Challenges and Enduring Questions","Authority Control: Information and Library Science",2
"992","Graphic, Visual and Multi-modal Storytelling","Authority Control: Information and Library Science",3
"993","GreaterThanGames Virtual Lab","Authority Control: Information and Library Science",1
"994","HASTAC Nominating Committee","Authority Control: Information and Library Science",1
"995","HASTAC Scholars - Evaluation of Impact","Authority Control: Information and Library Science",1
"996","HASTAC Scholars @ Liberal Arts Colleges","Authority Control: Information and Library Science",2
"997","HASTAC Steering Committee","Authority Control: Information and Library Science",1
"998","HASTAC virtual advisors","Authority Control: Information and Library Science",1
"999","HASTAC@Duke","Authority Control: Information and Library Science",1
"1004","Indiana-based HASTAC Scholars","Authority Control: Information and Library Science",1
"1005","Indiana University HASTAC Group","Authority Control: Information and Library Science",1
"1007","Learning Space Design","Authority Control: Information and Library Science",1
"1024","New Media and Social Movements","Authority Control: Information and Library Science",7
"1025","New Media Literacy Group","Authority Control: Information and Library Science",1
"1034","Pedagogy","Authority Control: Information and Library Science",9
"1039","Queer DML","Authority Control: Information and Library Science",4
"1040","Race Card I.Q.","Authority Control: Information and Library Science",1
"1044","Scholar Class 2009","Authority Control: Information and Library Science",1
"1045","Scholar Class 2010","Authority Control: Information and Library Science",7
"1046","Scholar Class 2011","Authority Control: Information and Library Science",9
"1047","Scholar Class 2012","Authority Control: Information and Library Science",10
"1048","Scholar Class 2013","Authority Control: Information and Library Science",18
"1049","Scholars","Authority Control: Information and Library Science",32
"1053","Semantic Web","Authority Control: Information and Library Science",3
"1056","Social Media Classroom","Authority Control: Information and Library Science",1
"1057","Sound & Music","Authority Control: Information and Library Science",5
"1058","Staff","Authority Control: Information and Library Science",2
"1063","Syracuse University Humanities and Digital Scholarship","Authority Control: Information and Library Science",1
"1068","TIRN Scholar Blogs","Authority Control: Information and Library Science",1
"1069","Transcultural Islam Research Network (TIRN) — Groups and General Inquiries","Authority Control: Information and Library Science",1
"1086","#transformDH","Badges for Lifelong Learning",2
"1087","4-H/USDA Robotics Digital Badges","Badges for Lifelong Learning",2
"1088","A Look at MOOCs","Badges for Lifelong Learning",2
"1089","Access + Digital Literacy","Badges for Lifelong Learning",2
"1090","Alt-Ac","Badges for Lifelong Learning",3
"1091","American Graduate: Let's Make It Happen Badges","Badges for Lifelong Learning",1
"1092","Authority Control: Information and Library Science","Badges for Lifelong Learning",4
"1094","Badges in Higher Ed","Badges for Lifelong Learning",12
"1095","Badges Work for Vets","Badges for Lifelong Learning",5
"1096","BadgeStack","Badges for Lifelong Learning",1
"1097","Better things to do","Badges for Lifelong Learning",1
"1098","Black Cloud: Environmental Studies Gaming","Badges for Lifelong Learning",1
"1099","Bound By Law","Badges for Lifelong Learning",1
"1102","ChinaVine","Badges for Lifelong Learning",1
"1106","Collaboration","Badges for Lifelong Learning",6
"1107","Collaborative Data","Badges for Lifelong Learning",4
"1108","Computer Science Student Network Badge System","Badges for Lifelong Learning",1
"1109","Conservation Connection","Badges for Lifelong Learning",1
"1112","Critical Commons","Badges for Lifelong Learning",1
"1114","Design Exchange","Badges for Lifelong Learning",1
"1115","Design for America: A Badge Community for Innovation","Badges for Lifelong Learning",1
"1119","Digital Dissertations","Badges for Lifelong Learning",2
"1121","Digital History","Badges for Lifelong Learning",1
"1123","Digital Media & Learning Competition 1","Badges for Lifelong Learning",7
"1124","Digital Media & Learning Competition 2","Badges for Lifelong Learning",2
"1125","Digital Media & Learning Competition 3","Badges for Lifelong Learning",4
"1126","Digital Media & Learning Competition 4","Badges for Lifelong Learning",27
"1127","Digital Media and Learning Competitions","Badges for Lifelong Learning",2
"1128","Digital Publishing","Badges for Lifelong Learning",1
"1130","Disney-Pixar Wilderness Explorers Badges","Badges for Lifelong Learning",1
"1133","EarthWorks","Badges for Lifelong Learning",2
"1136","Electronic Literature Organization","Badges for Lifelong Learning",5
"1137","Fab@School","Badges for Lifelong Learning",2
"1138","Fembot Collective","Badges for Lifelong Learning",3
"1139","Feminist Scholars Digital Workshop","Badges for Lifelong Learning",1
"1141","Formal and Informal Online Learning Environments","Badges for Lifelong Learning",3
"1143","Getting the Most Out of Teams","Badges for Lifelong Learning",1
"1145","Global Outlook :: Digital Humanities","Badges for Lifelong Learning",2
"1146","Grand Challenges and Enduring Questions","Badges for Lifelong Learning",2
"1147","Graphic, Visual and Multi-modal Storytelling","Badges for Lifelong Learning",11
"1148","GreaterThanGames Virtual Lab","Badges for Lifelong Learning",5
"1150","HASTAC Scholars - Evaluation of Impact","Badges for Lifelong Learning",1
"1151","HASTAC Scholars @ Liberal Arts Colleges","Badges for Lifelong Learning",1
"1152","HASTAC Steering Committee","Badges for Lifelong Learning",1
"1153","HASTAC virtual advisors","Badges for Lifelong Learning",2
"1154","HASTAC@Duke","Badges for Lifelong Learning",4
"1157","How They Got Game: Cultural Implications of Interactive Simulations and Video Games","Badges for Lifelong Learning",2
"1158","HyperCities","Badges for Lifelong Learning",2
"1159","Indiana-based HASTAC Scholars","Badges for Lifelong Learning",1
"1161","Intel and Society for Science and the Public Badges","Badges for Lifelong Learning",1
"1162","Learning Space Design","Badges for Lifelong Learning",1
"1163","LevelUp","Badges for Lifelong Learning",1
"1164","Leverage for Digital On-Ramps","Badges for Lifelong Learning",1
"1167","Mobile Action Lab","Badges for Lifelong Learning",1
"1168","Mobile and Immersive Learning for Literacy in Emerging Economies (MILLEE)","Badges for Lifelong Learning",2
"1171","Moodle as Issuer, Mahara as Displayer","Badges for Lifelong Learning",3
"1172","MOUSE Wins! Badge-based Achievement System for National Youth Technology Leadership","Badges for Lifelong Learning",2
"1173","My Girl Scout Sash Is An App","Badges for Lifelong Learning",2
"1174","National Manufacturing Badge System","Badges for Lifelong Learning",2
"1176","NatureBadges: Open Source Nature & Science Badge System","Badges for Lifelong Learning",2
"1179","New Media and Social Movements","Badges for Lifelong Learning",14
"1180","New Media Literacy Group","Badges for Lifelong Learning",4
"1186","Partners in Learning Network Badges","Badges for Lifelong Learning",1
"1187","Pathways for Lifelong Learning","Badges for Lifelong Learning",4
"1188","Pathways to Global Competence: A Badge System for Students","Badges for Lifelong Learning",2
"1189","Pedagogy","Badges for Lifelong Learning",19
"1190","Peer 2 Peer University (P2PU)","Badges for Lifelong Learning",2
"1191","Planet Stewards: Personalized Learning in 3D GameLab","Badges for Lifelong Learning",2
"1193","Preparing Librarians to Meet the Needs of 21st Century Teens","Badges for Lifelong Learning",1
"1194","Queer DML","Badges for Lifelong Learning",1
"1197","S2R Medals","Badges for Lifelong Learning",1
"1198","SA&FS Learner Driven Badges Project","Badges for Lifelong Learning",3
"1201","Scholar Class 2011","Badges for Lifelong Learning",1
"1202","Scholar Class 2012","Badges for Lifelong Learning",10
"1203","Scholar Class 2013","Badges for Lifelong Learning",5
"1204","Scholars","Badges for Lifelong Learning",12
"1206","Scratch & Share","Badges for Lifelong Learning",2
"1208","Semantic Web","Badges for Lifelong Learning",10
"1209","Service Learning and Ethical Decision-Making","Badges for Lifelong Learning",1
"1211","Social Media Classroom","Badges for Lifelong Learning",3
"1212","Sound & Music","Badges for Lifelong Learning",1
"1213","Staff","Badges for Lifelong Learning",3
"1214","Starlite (TM) Digital Badges Using NASA Content","Badges for Lifelong Learning",2
"1217","Sweet Water AQUAPONS","Badges for Lifelong Learning",2
"1227","Unlocked","Badges for Lifelong Learning",1
"1228","UO Digital Scholars","Badges for Lifelong Learning",1
"1233","Voces Moviles (Mobile Voices)","Badges for Lifelong Learning",1
"1235","Who Built America? Badges for Teaching Disciplinary Literacy in History","Badges for Lifelong Learning",1
"1237","WildLab","Badges for Lifelong Learning",1
"1239","Youth APPLab","Badges for Lifelong Learning",1
"1240","Youth Digital Filmmaker Badge System","Badges for Lifelong Learning",4
"1241","#transformDH","Badges in Higher Ed",1
"1242","4-H/USDA Robotics Digital Badges","Badges in Higher Ed",1
"1243","A Look at MOOCs","Badges in Higher Ed",5
"1246","American Graduate: Let's Make It Happen Badges","Badges in Higher Ed",1
"1248","Badges for Lifelong Learning","Badges in Higher Ed",12
"1250","Badges Work for Vets","Badges in Higher Ed",2
"1253","Black Cloud: Environmental Studies Gaming","Badges in Higher Ed",1
"1261","Collaboration","Badges in Higher Ed",2
"1262","Collaborative Data","Badges in Higher Ed",1
"1263","Computer Science Student Network Badge System","Badges in Higher Ed",1
"1264","Conservation Connection","Badges in Higher Ed",1
"1270","Design for America: A Badge Community for Innovation","Badges in Higher Ed",1
"1276","Digital History","Badges in Higher Ed",1
"1278","Digital Media & Learning Competition 1","Badges in Higher Ed",1
"1279","Digital Media & Learning Competition 2","Badges in Higher Ed",1
"1280","Digital Media & Learning Competition 3","Badges in Higher Ed",1
"1281","Digital Media & Learning Competition 4","Badges in Higher Ed",6
"1282","Digital Media and Learning Competitions","Badges in Higher Ed",1
"1285","Disney-Pixar Wilderness Explorers Badges","Badges in Higher Ed",1
"1288","EarthWorks","Badges in Higher Ed",2
"1291","Electronic Literature Organization","Badges in Higher Ed",1
"1292","Fab@School","Badges in Higher Ed",1
"1296","Formal and Informal Online Learning Environments","Badges in Higher Ed",2
"1298","Getting the Most Out of Teams","Badges in Higher Ed",1
"1300","Global Outlook :: Digital Humanities","Badges in Higher Ed",1
"1302","Graphic, Visual and Multi-modal Storytelling","Badges in Higher Ed",1
"1305","HASTAC Scholars - Evaluation of Impact","Badges in Higher Ed",1
"1309","HASTAC@Duke","Badges in Higher Ed",1
"1314","Indiana-based HASTAC Scholars","Badges in Higher Ed",1
"1316","Intel and Society for Science and the Public Badges","Badges in Higher Ed",1
"1317","Learning Space Design","Badges in Higher Ed",1
"1318","LevelUp","Badges in Higher Ed",1
"1319","Leverage for Digital On-Ramps","Badges in Higher Ed",1
"1322","Mobile Action Lab","Badges in Higher Ed",1
"1323","Mobile and Immersive Learning for Literacy in Emerging Economies (MILLEE)","Badges in Higher Ed",1
"1326","Moodle as Issuer, Mahara as Displayer","Badges in Higher Ed",2
"1327","MOUSE Wins! Badge-based Achievement System for National Youth Technology Leadership","Badges in Higher Ed",1
"1328","My Girl Scout Sash Is An App","Badges in Higher Ed",1
"1329","National Manufacturing Badge System","Badges in Higher Ed",2
"1331","NatureBadges: Open Source Nature & Science Badge System","Badges in Higher Ed",1
"1334","New Media and Social Movements","Badges in Higher Ed",3
"1341","Partners in Learning Network Badges","Badges in Higher Ed",1
"1342","Pathways for Lifelong Learning","Badges in Higher Ed",3
"1343","Pathways to Global Competence: A Badge System for Students","Badges in Higher Ed",1
"1344","Pedagogy","Badges in Higher Ed",5
"1346","Planet Stewards: Personalized Learning in 3D GameLab","Badges in Higher Ed",1
"1348","Preparing Librarians to Meet the Needs of 21st Century Teens","Badges in Higher Ed",1
"1349","Queer DML","Badges in Higher Ed",2
"1352","S2R Medals","Badges in Higher Ed",1
"1353","SA&FS Learner Driven Badges Project","Badges in Higher Ed",2
"1357","Scholar Class 2012","Badges in Higher Ed",1
"1358","Scholar Class 2013","Badges in Higher Ed",2
"1359","Scholars","Badges in Higher Ed",2
"1368","Staff","Badges in Higher Ed",1
"1372","Sweet Water AQUAPONS","Badges in Higher Ed",1
"1382","Unlocked","Badges in Higher Ed",1
"1388","Voces Moviles (Mobile Voices)","Badges in Higher Ed",1
"1390","Who Built America? Badges for Teaching Disciplinary Literacy in History","Badges in Higher Ed",1
"1394","Youth APPLab","Badges in Higher Ed",1
"1395","Youth Digital Filmmaker Badge System","Badges in Higher Ed",1
